ID,City,Country,Latitude,Longitude,Elevation(m),LST_Day_MODIS_1KM(øC),LST_Night_MODIS_1KM(øC),NDVI,NDBI,Precipitation(MM.HR),WindSpeed(SM/S),Evapotranspiration(	kg/m^2/8day),Surface_Soil_ Moisture(MM),Population,Year
0,New_York,USA,40.71,-74.0,10,21.27,10.72,0.324,-0.084,0.15,421.0,,,8015000,2000
1,New_York,USA,40.71,-74.0,10,18.87,9.33,0.295,-0.086,0.12,397.0,12.06,,8044000,2001
2,New_York,USA,40.71,-74.0,10,19.52,10.03,0.313,-0.064,0.151,424.0,12.53,,8042000,2002
3,New_York,USA,40.71,-74.0,10,17.41,8.71,0.288,-0.093,0.18,415.0,14.58,,8023000,2003
4,New_York,USA,40.71,-74.0,10,17.93,8.87,0.302,-0.08,0.161,408.0,15.26,,7984000,2004
5,New_York,USA,40.71,-74.0,10,18.64,9.46,0.288,-0.076,0.163,403.0,13.85,,7940000,2005
6,New_York,USA,40.71,-74.0,10,19.26,9.88,0.308,-0.049,0.169,420.0,14.31,,7904000,2006
7,New_York,USA,40.71,-74.0,10,18.54,9.63,0.317,-0.073,0.167,413.0,14.22,,7909000,2007
8,New_York,USA,40.71,-74.0,10,18.73,9.04,0.306,-0.036,0.151,404.0,13.49,,7946000,2008
9,New_York,USA,40.71,-74.0,10,17.86,8.74,0.292,-0.076,0.147,414.0,14.41,,7991000,2009
10,New_York,USA,40.71,-74.0,10,19.3,9.75,0.303,-0.085,0.134,436.0,13.05,,8194000,2010
11,New_York,USA,40.71,-74.0,10,18.29,9.37,0.283,-0.106,0.189,399.0,14.26,,8293000,2011
12,New_York,USA,40.71,-74.0,10,19.74,11.03,0.326,-0.051,0.12,392.0,13.37,,8384000,2012
13,New_York,USA,40.71,-74.0,10,18.29,9.44,0.294,-0.07,0.124,413.0,13.86,,8459000,2013
14,New_York,USA,40.71,-74.0,10,17.57,8.53,0.276,-0.097,0.152,408.0,13.65,,8521000,2014
15,New_York,USA,40.71,-74.0,10,17.76,8.68,0.298,-0.088,0.12,406.0,13.87,9.05,8582000,2015
16,New_York,USA,40.71,-74.0,10,19.89,10.36,0.35,-0.047,0.115,412.0,14.05,9.47,8615000,2016
17,New_York,USA,40.71,-74.0,10,,,0.312,-0.067,0.133,417.0,14.86,10.61,8623000,2017
18,New_York,USA,40.71,-74.0,10,,,0.303,-0.072,0.151,,17.24,10.99,8628697,2018
19,Greater_London,England,51.51,-0.13,11,17.81,8.39,0.524,-0.177,,394.0,,,7237000,2000
20,Greater_London,England,51.51,-0.13,11,14.94,6.5,0.512,-0.137,,374.0,11.26,,7322000,2001
21,Greater_London,England,51.51,-0.13,11,16.07,7.45,0.512,-0.137,,386.0,13.32,,7377000,2002
22,Greater_London,England,51.51,-0.13,11,17.23,7.25,0.486,-0.1,,350.0,12.66,,7395000,2003
23,Greater_London,England,51.51,-0.13,11,15.56,7.04,0.492,-0.121,,374.0,12.78,,7433000,2004
24,Greater_London,England,51.51,-0.13,11,16.17,7.72,0.517,-0.132,,375.0,13.21,,7519000,2005
25,Greater_London,England,51.51,-0.13,11,16.62,7.85,0.507,-0.128,,395.0,13.21,,7598000,2006
26,Greater_London,England,51.51,-0.13,11,16.11,7.67,0.532,-0.139,,395.0,13.83,,7693000,2007
27,Greater_London,England,51.51,-0.13,11,15.17,6.7,0.518,-0.146,,415.0,12.38,,7812000,2008
28,Greater_London,England,51.51,-0.13,11,15.88,6.76,0.498,-0.145,,374.0,12.55,,7943000,2009
29,Greater_London,England,51.51,-0.13,11,14.37,5.82,0.469,-0.141,,353.0,11.97,,8061000,2010
30,Greater_London,England,51.51,-0.13,11,16.69,7.65,0.517,-0.136,,394.0,13.06,,8174000,2011
31,Greater_London,England,51.51,-0.13,11,15.29,6.69,0.536,-0.151,,381.0,13.05,,8308000,2012
32,Greater_London,England,51.51,-0.13,11,15.29,6.69,0.518,-0.134,,392.0,12.79,,8417000,2013
33,Greater_London,England,51.51,-0.13,11,17.07,8.11,0.554,-0.152,,380.0,13.65,,8539000,2014
34,Greater_London,England,51.51,-0.13,11,16.24,7.33,0.528,-0.135,,424.0,12.72,11.63,8674000,2015
35,Greater_London,England,51.51,-0.13,11,16.43,7.18,0.554,-0.135,,372.0,13.81,13.69,8787892,2016
36,Greater_London,England,51.51,-0.13,11,,,0.557,-0.14,,380.0,13.8,11.85,8750000,2017
37,Greater_London,England,51.51,-0.13,11,,,0.523,-0.13,,,13.14,10.93,8850000,2018
38,Paris,France,48.86,2.35,35,20.68,11.07,0.249,-0.074,0.11,387.0,,,2130000,2000
39,Paris,France,48.86,2.35,35,16.89,9.31,0.25,-0.051,0.116,393.0,11.83,,2137000,2001
40,Paris,France,48.86,2.35,35,19.34,10.3,0.243,-0.051,0.092,414.0,12.76,,2145000,2002
41,Paris,France,48.86,2.35,35,18.86,9.92,0.24,-0.059,0.067,355.0,12.57,,2155000,2003
42,Paris,France,48.86,2.35,35,17.77,9.47,0.245,-0.055,0.075,379.0,12.04,,2162000,2004
43,Paris,France,48.86,2.35,35,18.89,9.83,0.255,-0.05,0.067,365.0,12.52,,2172000,2005
44,Paris,France,48.86,2.35,35,18.68,10.11,0.247,-0.049,0.082,383.0,12.96,,2181000,2006
45,Paris,France,48.86,2.35,35,18.59,9.84,0.254,-0.049,0.089,396.0,12.74,,2193000,2007
46,Paris,France,48.86,2.35,35,18.57,9.52,0.252,-0.049,0.081,382.0,12.46,,2211000,2008
47,Paris,France,48.86,2.35,35,18.32,9.37,0.251,-0.054,0.077,372.0,11.63,,2234000,2009
48,Paris,France,48.86,2.35,35,17.7,8.68,0.252,-0.068,0.076,366.0,12.04,,2244000,2010
49,Paris,France,48.86,2.35,35,19.46,10.26,0.259,-0.052,0.069,363.0,12.25,,2250000,2011
50,Paris,France,48.86,2.35,35,17.65,9.64,0.259,-0.056,0.083,379.0,12.46,,2241000,2012
51,Paris,France,48.86,2.35,35,17.66,9.37,0.261,-0.066,0.079,372.0,12.83,,2230000,2013
52,Paris,France,48.86,2.35,35,18.64,10.58,0.282,-0.071,0.088,365.0,14.33,,2220000,2014
53,Paris,France,48.86,2.35,35,19.08,10.17,0.287,-0.05,0.063,394.0,13.34,6.4,2211000,2015
54,Paris,France,48.86,2.35,35,18.35,10.18,0.294,-0.057,0.078,357.0,13.57,8.99,2200000,2016
55,Paris,France,48.86,2.35,35,,,0.303,-0.055,0.081,358.0,14.26,8.42,2408000,2017
56,Paris,France,48.86,2.35,35,,,0.29,-0.062,0.091,,14.65,8.75,2461600,2018
57,Tokyo,Japan,35.69,139.69,40,23.93,13.44,0.43,-0.109,0.171,331.0,,,12060000,2000
58,Tokyo,Japan,35.69,139.69,40,20.47,10.55,0.415,-0.083,0.193,336.0,13.37,,12171577,2001
59,Tokyo,Japan,35.69,139.69,40,20.87,11.33,0.429,-0.104,0.175,345.0,15.04,,12279419,2002
60,Tokyo,Japan,35.69,139.69,40,20.57,11.21,0.417,-0.09,0.208,338.0,14.1,,12368691,2003
61,Tokyo,Japan,35.69,139.69,40,22.31,12.51,0.446,-0.103,0.209,346.0,15.76,,12451966,2004
62,Tokyo,Japan,35.69,139.69,40,20.44,10.99,0.414,-0.1,0.16,344.0,13.34,,12576601,2005
63,Tokyo,Japan,35.69,139.69,40,20.16,11.0,0.416,-0.101,0.208,336.0,14.16,,12677921,2006
64,Tokyo,Japan,35.69,139.69,40,21.35,11.63,0.433,-0.109,0.165,333.0,15.18,,12790202,2007
65,Tokyo,Japan,35.69,139.69,40,20.32,11.24,0.433,-0.121,0.206,331.0,13.66,,12898939,2008
66,Tokyo,Japan,35.69,139.69,40,20.84,11.24,0.424,-0.113,0.188,341.0,14.01,,12988797,2009
67,Tokyo,Japan,35.69,139.69,40,21.06,11.7,0.43,-0.12,0.204,349.0,14.51,,13159388,2010
68,Tokyo,Japan,35.69,139.69,40,21.06,11.21,0.436,-0.118,0.189,350.0,14.18,,13191203,2011
69,Tokyo,Japan,35.69,139.69,40,20.79,10.8,0.434,-0.125,0.2,352.0,14.37,,13225551,2012
70,Tokyo,Japan,35.69,139.69,40,21.36,11.91,0.432,-0.133,0.139,361.0,13.89,,13301154,2013
71,Tokyo,Japan,35.69,139.69,40,21.46,11.46,0.431,-0.14,0.185,353.0,13.83,,13398087,2014
72,Tokyo,Japan,35.69,139.69,40,21.28,11.68,0.447,-0.111,0.209,344.0,14.62,19.8,13515271,2015
73,Tokyo,Japan,35.69,139.69,40,21.85,11.61,0.45,-0.114,0.196,339.0,15.33,19.04,13636222,2016
74,Tokyo,Japan,35.69,139.69,40,,,0.452,-0.106,0.174,356.0,14.01,18.09,13760000,2017
75,Tokyo,Japan,35.69,139.69,40,,,,-0.141,,,15.65,17.77,,2018
76,Hong Kong,Hong Kong,22.4,114.11,552,25.76,20.38,0.357,-0.087,0.281,341.0,,,6665000,2000
77,Hong Kong,Hong Kong,22.4,114.11,552,24.3,18.66,0.35,-0.062,0.307,317.0,19.61,,6714000,2001
78,Hong Kong,Hong Kong,22.4,114.11,552,24.13,19.12,0.384,-0.059,0.215,306.0,20.3,,6744000,2002
79,Hong Kong,Hong Kong,22.4,114.11,552,24.62,19.67,0.4,-0.06,0.168,325.0,22.4,,6731000,2003
80,Hong Kong,Hong Kong,22.4,114.11,552,24.85,19.55,0.414,-0.061,0.143,292.0,21.37,,6784000,2004
81,Hong Kong,Hong Kong,22.4,114.11,552,23.47,18.63,0.34,-0.069,0.244,308.0,21.09,,6813000,2005
82,Hong Kong,Hong Kong,22.4,114.11,552,23.8,19.28,0.387,-0.08,0.243,289.0,20.97,,6857000,2006
83,Hong Kong,Hong Kong,22.4,114.11,552,23.89,19.53,0.411,-0.082,0.173,286.0,21.81,,6916000,2007
84,Hong Kong,Hong Kong,22.4,114.11,552,23.93,18.59,0.408,-0.098,0.291,295.0,21.11,,6958000,2008
85,Hong Kong,Hong Kong,22.4,114.11,552,24.37,19.4,0.41,-0.091,0.165,290.0,22.64,,6973000,2009
86,Hong Kong,Hong Kong,22.4,114.11,552,23.73,18.62,0.389,-0.1,0.205,301.0,22.07,,7024000,2010
87,Hong Kong,Hong Kong,22.4,114.11,552,23.32,19.03,0.416,-0.096,0.133,310.0,21.52,,7072000,2011
88,Hong Kong,Hong Kong,22.4,114.11,552,23.06,19.11,0.362,-0.104,0.176,308.0,21.12,,7150000,2012
89,Hong Kong,Hong Kong,22.4,114.11,552,23.79,18.8,0.401,-0.109,0.232,315.0,22.51,,7179000,2013
90,Hong Kong,Hong Kong,22.4,114.11,552,23.97,18.84,0.426,-0.117,0.194,292.0,21.92,,7230000,2014
91,Hong Kong,Hong Kong,22.4,114.11,552,23.43,19.3,0.411,-0.113,0.165,288.0,22.8,0.63,7291000,2015
92,Hong Kong,Hong Kong,22.4,114.11,552,23.93,18.87,0.441,-0.113,0.237,301.0,22.81,0.64,7337000,2016
93,Hong Kong,Hong Kong,22.4,114.11,552,,,0.452,-0.113,0.149,309.0,22.25,0.64,7392000,2017
94,Hong Kong,Hong Kong,22.4,114.11,552,,,,-0.109,,,22.93,0.63,7428887,2018
95,Los Angeles,USA,34.05,-118.24,87,32.64,14.3,0.337,-0.078,0.034,324.0,,,3703000,2000
96,Los Angeles,USA,34.05,-118.24,87,29.03,12.53,0.343,-0.068,0.056,307.0,10.61,,3739000,2001
97,Los Angeles,USA,34.05,-118.24,87,29.95,12.88,0.322,-0.038,0.018,311.0,7.23,,3774000,2002
98,Los Angeles,USA,34.05,-118.24,87,29.83,13.51,0.35,-0.075,0.043,314.0,10.25,,3798000,2003
99,Los Angeles,USA,34.05,-118.24,87,30.08,13.54,0.34,-0.061,0.054,317.0,8.78,,3808000,2004
100,Los Angeles,USA,34.05,-118.24,87,29.22,13.41,0.36,-0.088,0.079,316.0,11.43,,3810000,2005
101,Los Angeles,USA,34.05,-118.24,87,29.74,13.52,0.346,-0.073,0.033,318.0,10.25,,3794000,2006
102,Los Angeles,USA,34.05,-118.24,87,30.65,13.25,0.313,-0.032,0.018,319.0,6.9,,3794000,2007
103,Los Angeles,USA,34.05,-118.24,87,30.85,13.75,0.328,-0.062,0.047,328.0,8.13,,3817000,2008
104,Los Angeles,USA,34.05,-118.24,87,30.67,13.42,0.32,-0.049,0.023,316.0,8.01,,3844000,2009
105,Los Angeles,USA,34.05,-118.24,87,29.36,12.88,0.336,-0.073,0.063,325.0,8.98,,3796000,2010
106,Los Angeles,USA,34.05,-118.24,87,29.75,12.86,0.344,-0.082,0.037,315.0,9.52,,3825000,2011
107,Los Angeles,USA,34.05,-118.24,87,31.2,13.73,0.328,-0.061,0.022,313.0,8.01,,3859000,2012
108,Los Angeles,USA,34.05,-118.24,87,31.39,13.73,0.316,-0.039,0.014,315.0,6.49,,3892000,2013
109,Los Angeles,USA,34.05,-118.24,87,32.59,14.86,0.301,-0.025,0.027,312.0,6.18,,3923000,2014
110,Los Angeles,USA,34.05,-118.24,87,31.94,14.49,0.319,-0.032,0.023,308.0,7.8,3.04,3953000,2015
111,Los Angeles,USA,34.05,-118.24,87,31.85,14.32,0.295,-0.018,0.033,318.0,7.06,3.79,3981000,2016
112,Los Angeles,USA,34.05,-118.24,87,,,0.319,-0.039,0.04,344.0,8.23,5.01,4000000,2017
113,Los Angeles,USA,34.05,-118.24,87,,,0.296,-0.022,,,8.04,4.29,4055600,2018
114,Singapore,Singapore,1.35,103.82,15,27.89,23.46,0.39,-0.15,0.284,177.0,19.78,,4028000,2000
115,Singapore,Singapore,1.35,103.82,15,27.7,23.19,0.416,-0.118,0.288,186.0,21.03,,4138000,2001
116,Singapore,Singapore,1.35,103.82,15,27.8,23.98,0.425,-0.111,0.266,206.0,21.84,,4176000,2002
117,Singapore,Singapore,1.35,103.82,15,27.78,23.48,0.428,-0.118,0.304,215.0,20.84,,4115000,2003
118,Singapore,Singapore,1.35,103.82,15,27.4,23.51,0.406,-0.114,0.3,221.0,21.5,,4167000,2004
119,Singapore,Singapore,1.35,103.82,15,27.82,24.18,0.421,-0.113,0.271,210.0,21.94,,4266000,2005
120,Singapore,Singapore,1.35,103.82,15,28.38,23.06,0.435,-0.119,0.365,203.0,20.98,,4401000,2006
121,Singapore,Singapore,1.35,103.82,15,27.48,22.86,0.421,-0.127,0.345,183.0,18.9,,4589000,2007
122,Singapore,Singapore,1.35,103.82,15,27.33,22.74,0.404,-0.123,0.321,189.0,21.79,,4839000,2008
123,Singapore,Singapore,1.35,103.82,15,27.64,24.06,0.432,-0.121,0.24,188.0,21.09,,4988000,2009
124,Singapore,Singapore,1.35,103.82,15,27.66,24.02,0.43,-0.126,0.252,162.0,20.63,,5077000,2010
125,Singapore,Singapore,1.35,103.82,15,27.84,23.66,0.431,-0.128,0.322,194.0,20.67,,5184000,2011
126,Singapore,Singapore,1.35,103.82,15,27.26,23.26,0.407,-0.121,0.277,151.0,19.83,,5312000,2012
127,Singapore,Singapore,1.35,103.82,15,27.84,23.37,0.414,-0.13,0.304,157.0,20.99,,5399000,2013
128,Singapore,Singapore,1.35,103.82,15,28.81,23.84,0.433,-0.111,0.224,179.0,20.78,,5470000,2014
129,Singapore,Singapore,1.35,103.82,15,28.89,24.03,0.431,-0.113,0.185,184.0,19.94,0.64,5535000,2015
130,Singapore,Singapore,1.35,103.82,15,27.49,24.61,0.384,-0.128,0.238,181.0,20.36,0.64,5607000,2016
131,Singapore,Singapore,1.35,103.82,15,,,0.397,-0.121,0.31,179.0,20.82,0.64,5612000,2017
132,Singapore,Singapore,1.35,103.82,15,,,0.424,-0.112,0.229,,,,5819770,2018
133,Chicago,USA,41.88,-87.63,181ÿ,21.25,8.85,0.301,-0.117,0.124,400.0,11.44,,2896000,2000
134,Chicago,USA,41.88,-87.63,181ÿ,18.32,6.08,0.282,-0.109,0.127,385.0,13.14,,2895000,2001
135,Chicago,USA,41.88,-87.63,181ÿ,18.51,7.35,0.278,-0.117,0.105,394.0,12.1,,2883000,2002
136,Chicago,USA,41.88,-87.63,181ÿ,17.58,5.95,0.282,-0.061,0.117,388.0,13.75,,2870000,2003
137,Chicago,USA,41.88,-87.63,181ÿ,16.99,6.74,0.273,-0.099,0.121,397.0,12.99,,2852000,2004
138,Chicago,USA,41.88,-87.63,181ÿ,18.78,6.82,0.256,-0.103,0.094,379.0,13.3,,2829000,2005
